PassengerId,Survived,Pclass,Age,Fare,Sex
416,0,3,,8.05,1
417,1,2,34,32.5,1
418,1,2,18,13,1
419,0,2,30,13,0
420,0,3,10,24.15,1
421,0,3,,7.8958,0
422,0,3,21,7.7333,0
423,0,3,29,7.875,0
424,0,3,28,14.4,1
425,0,3,18,20.2125,0
426,0,3,,7.25,0
427,1,2,28,26,1
428,1,2,19,26,1
429,0,3,,7.75,0
430,1,3,32,8.05,0
431,1,1,28,26.55,0
432,1,3,,16.1,1
433,1,2,42,26,1
434,0,3,17,7.125,0
435,0,1,50,55.9,0
436,1,1,14,120,1
437,0,3,21,34.375,1
438,1,2,24,18.75,1
439,0,1,64,263,0
440,0,2,31,10.5,0
441,1,2,45,26.25,1
442,0,3,20,9.5,0
443,0,3,25,7.775,0
444,1,2,28,13,1
445,1,3,,8.1125,0
446,1,1,4,81.8583,0
447,1,2,13,19.5,1
448,1,1,34,26.55,0
449,1,3,5,19.2583,1
450,1,1,52,30.5,0
451,0,2,36,27.75,0
452,0,3,,19.9667,0
453,0,1,30,27.75,0
454,1,1,49,89.1042,0
455,0,3,,8.05,0
456,1,3,29,7.8958,0
457,0,1,65,26.55,0
458,1,1,,51.8625,1
459,1,2,50,10.5,1
460,0,3,,7.75,0
461,1,1,48,26.55,0
462,0,3,34,8.05,0
463,0,1,47,38.5,0
464,0,2,48,13,0
465,0,3,,8.05,0
466,0,3,38,7.05,0
467,0,2,,0,0
468,0,1,56,26.55,0
469,0,3,,7.725,0
470,1,3,0.75,19.2583,1
471,0,3,,7.25,0
472,0,3,38,8.6625,0
473,1,2,33,27.75,1
474,1,2,23,13.7917,1
475,0,3,22,9.8375,1
476,0,1,,52,0
477,0,2,34,21,0
478,0,3,29,7.0458,0
479,0,3,22,7.5208,0
480,1,3,2,12.2875,1
481,0,3,9,46.9,0
482,0,2,,0,0
483,0,3,50,8.05,0
484,1,3,63,9.5875,1
485,1,1,25,91.0792,0
486,0,3,,25.4667,1
487,1,1,35,90,1
488,0,1,58,29.7,0
489,0,3,30,8.05,0
490,1,3,9,15.9,0
491,0,3,,19.9667,0
492,0,3,21,7.25,0
493,0,1,55,30.5,0
494,0,1,71,49.5042,0
495,0,3,21,8.05,0
496,0,3,,14.4583,0
497,1,1,54,78.2667,1
498,0,3,,15.1,0
499,0,1,25,151.55,1
500,0,3,24,7.7958,0
501,0,3,17,8.6625,0
502,0,3,21,7.75,1
503,0,3,,7.6292,1
504,0,3,37,9.5875,1
505,1,1,16,86.5,1
506,0,1,18,108.9,0
507,1,2,33,26,1
508,1,1,,26.55,0
509,0,3,28,22.525,0
510,1,3,26,56.4958,0
511,1,3,29,7.75,0
512,0,3,,8.05,0
513,1,1,36,26.2875,0
514,1,1,54,59.4,1
515,0,3,24,7.4958,0
516,0,1,47,34.0208,0
517,1,2,34,10.5,1
518,0,3,,24.15,0
519,1,2,36,26,1
520,0,3,32,7.8958,0
521,1,1,30,93.5,1
522,0,3,22,7.8958,0
523,0,3,,7.225,0
524,1,1,44,57.9792,1
525,0,3,,7.2292,0
526,0,3,40.5,7.75,0
527,1,2,50,10.5,1
528,0,1,,221.7792,0
529,0,3,39,7.925,0
530,0,2,23,11.5,0
531,1,2,2,26,1
532,0,3,,7.2292,0
533,0,3,17,7.2292,0
534,1,3,,22.3583,1
535,0,3,30,8.6625,1
536,1,2,7,26.25,1
537,0,1,45,26.55,0
538,1,1,30,106.425,1
539,0,3,,14.5,0
540,1,1,22,49.5,1
541,1,1,36,71,1
542,0,3,9,31.275,1
543,0,3,11,31.275,1
544,1,2,32,26,0
545,0,1,50,106.425,0
546,0,1,64,26,0
547,1,2,19,26,1
548,1,2,,13.8625,0
549,0,3,33,20.525,0
550,1,2,8,36.75,0
551,1,1,17,110.8833,0
552,0,2,27,26,0
553,0,3,,7.8292,0
554,1,3,22,7.225,0
555,1,3,22,7.775,1
556,0,1,62,26.55,0
557,1,1,48,39.6,1
558,0,1,,227.525,0
559,1,1,39,79.65,1
560,1,3,36,17.4,1
561,0,3,,7.75,0
562,0,3,40,7.8958,0
563,0,2,28,13.5,0
564,0,3,,8.05,0
565,0,3,,8.05,1
566,0,3,24,24.15,0
567,0,3,19,7.8958,0
568,0,3,29,21.075,1
569,0,3,,7.2292,0
570,1,3,32,7.8542,0
571,1,2,62,10.5,0
572,1,1,53,51.4792,1
573,1,1,36,26.3875,0
574,1,3,,7.75,1
575,0,3,16,8.05,0
576,0,3,19,14.5,0
577,1,2,34,13,1
578,1,1,39,55.9,1
579,0,3,,14.4583,1
580,1,3,32,7.925,0
581,1,2,25,30,1
582,1,1,39,110.8833,1
583,0,2,54,26,0
584,0,1,36,40.125,0
585,0,3,,8.7125,0
586,1,1,18,79.65,1
587,0,2,47,15,0
588,1,1,60,79.2,0
589,0,3,22,8.05,0
590,0,3,,8.05,0
591,0,3,35,7.125,0
592,1,1,52,78.2667,1
593,0,3,47,7.25,0
594,0,3,,7.75,1
595,0,2,37,26,0
596,0,3,36,24.15,0
597,1,2,,33,1
598,0,3,49,0,0
599,0,3,,7.225,0
600,1,1,49,56.9292,0
601,1,2,24,27,1
602,0,3,,7.8958,0
603,0,1,,42.4,0
604,0,3,44,8.05,0
605,1,1,35,26.55,0
606,0,3,36,15.55,0
607,0,3,30,7.8958,0
608,1,1,27,30.5,0
609,1,2,22,41.5792,1
610,1,1,40,153.4625,1
611,0,3,39,31.275,1
612,0,3,,7.05,0
613,1,3,,15.5,1
614,0,3,,7.75,0
615,0,3,35,8.05,0
616,1,2,24,65,1
617,0,3,34,14.4,0
618,0,3,26,16.1,1
619,1,2,4,39,1
620,0,2,26,10.5,0
621,0,3,27,14.4542,0
622,1,1,42,52.5542,0
623,1,3,20,15.7417,0
624,0,3,21,7.8542,0
625,0,3,21,16.1,0
626,0,1,61,32.3208,0
627,0,2,57,12.35,0
628,1,1,21,77.9583,1
629,0,3,26,7.8958,0
630,0,3,,7.7333,0
631,1,1,80,30,0
632,0,3,51,7.0542,0
633,1,1,32,30.5,0
634,0,1,,0,0
635,0,3,9,27.9,1
636,1,2,28,13,1
637,0,3,32,7.925,0
638,0,2,31,26.25,0
639,0,3,41,39.6875,1
640,0,3,,16.1,0
641,0,3,20,7.8542,0
642,1,1,24,69.3,1
643,0,3,2,27.9,1
644,1,3,,56.4958,0
645,1,3,0.75,19.2583,1
646,1,1,48,76.7292,0
647,0,3,19,7.8958,0
648,1,1,56,35.5,0
649,0,3,,7.55,0
650,1,3,23,7.55,1
651,0,3,,7.8958,0
652,1,2,18,23,1
653,0,3,21,8.4333,0
654,1,3,,7.8292,1
655,0,3,18,6.75,1
656,0,2,24,73.5,0
657,0,3,,7.8958,0
658,0,3,32,15.5,1
659,0,2,23,13,0
660,0,1,58,113.275,0
661,1,1,50,133.65,0
662,0,3,40,7.225,0
663,0,1,47,25.5875,0
664,0,3,36,7.4958,0
665,1,3,20,7.925,0
666,0,2,32,73.5,0
667,0,2,25,13,0
668,0,3,,7.775,0
669,0,3,43,8.05,0
670,1,1,,52,1
671,1,2,40,39,1
672,0,1,31,52,0
673,0,2,70,10.5,0
674,1,2,31,13,0
675,0,2,,0,0
676,0,3,18,7.775,0
677,0,3,24.5,8.05,0
678,1,3,18,9.8417,1
679,0,3,43,46.9,1
680,1,1,36,512.3292,0
681,0,3,,8.1375,1
682,1,1,27,76.7292,0
683,0,3,20,9.225,0
684,0,3,14,46.9,0
685,0,2,60,39,0
686,0,2,25,41.5792,0
687,0,3,14,39.6875,0
688,0,3,19,10.1708,0
689,0,3,18,7.7958,0
690,1,1,15,211.3375,1
691,1,1,31,57,0
692,1,3,4,13.4167,1
693,1,3,,56.4958,0
694,0,3,25,7.225,0
695,0,1,60,26.55,0
696,0,2,52,13.5,0
697,0,3,44,8.05,0
698,1,3,,7.7333,1
699,0,1,49,110.8833,0
700,0,3,42,7.65,0
701,1,1,18,227.525,1
702,1,1,35,26.2875,0
703,0,3,18,14.4542,1
704,0,3,25,7.7417,0
705,0,3,26,7.8542,0
706,0,2,39,26,0
707,1,2,45,13.5,1
708,1,1,42,26.2875,0
709,1,1,22,151.55,1
710,1,3,,15.2458,0
711,1,1,24,49.5042,1
712,0,1,,26.55,0
713,1,1,48,52,0
714,0,3,29,9.4833,0
715,0,2,52,13,0
716,0,3,19,7.65,0
717,1,1,38,227.525,1
718,1,2,27,10.5,1
719,0,3,,15.5,0
720,0,3,33,7.775,0
721,1,2,6,33,1
722,0,3,17,7.0542,0
723,0,2,34,13,0
724,0,2,50,13,0
725,1,1,27,53.1,0
726,0,3,20,8.6625,0
727,1,2,30,21,1
728,1,3,,7.7375,1
729,0,2,25,26,0
730,0,3,25,7.925,1
731,1,1,29,211.3375,1
732,0,3,11,18.7875,0
733,0,2,,0,0
734,0,2,23,13,0
735,0,2,23,13,0
736,0,3,28.5,16.1,0
737,0,3,48,34.375,1
738,1,1,35,512.3292,0
739,0,3,,7.8958,0
740,0,3,,7.8958,0
741,1,1,,30,0
742,0,1,36,78.85,0
743,1,1,21,262.375,1
744,0,3,24,16.1,0
745,1,3,31,7.925,0
746,0,1,70,71,0
747,0,3,16,20.25,0
748,1,2,30,13,1
749,0,1,19,53.1,0
750,0,3,31,7.75,0
751,1,2,4,23,1
752,1,3,6,12.475,0
753,0,3,33,9.5,0
754,0,3,23,7.8958,0
755,1,2,48,65,1
756,1,2,0.67,14.5,0
757,0,3,28,7.7958,0
758,0,2,18,11.5,0
759,0,3,34,8.05,0
760,1,1,33,86.5,1
761,0,3,,14.5,0
762,0,3,41,7.125,0
763,1,3,20,7.2292,0
764,1,1,36,120,1
765,0,3,16,7.775,0
766,1,1,51,77.9583,1
767,0,1,,39.6,0
768,0,3,30.5,7.75,1
769,0,3,,24.15,0
770,0,3,32,8.3625,0
771,0,3,24,9.5,0
772,0,3,48,7.8542,0
773,0,2,57,10.5,1
774,0,3,,7.225,0
775,1,2,54,23,1
776,0,3,18,7.75,0
777,0,3,,7.75,0
778,1,3,5,12.475,1
779,0,3,,7.7375,0
780,1,1,43,211.3375,1
781,1,3,13,7.2292,1
782,1,1,17,57,1
783,0,1,29,30,0
784,0,3,,23.45,0
785,0,3,25,7.05,0
786,0,3,25,7.25,0
787,1,3,18,7.4958,1
788,0,3,8,29.125,0
789,1,3,1,20.575,0
790,0,1,46,79.2,0
791,0,3,,7.75,0
792,0,2,16,26,0
793,0,3,,69.55,1
794,0,1,,30.6958,0
795,0,3,25,7.8958,0
796,0,2,39,13,0
797,1,1,49,25.9292,1
798,1,3,31,8.6833,1
799,0,3,30,7.2292,0
800,0,3,30,24.15,1
801,0,2,34,13,0
802,1,2,31,26.25,1
803,1,1,11,120,0
804,1,3,0.42,8.5167,0
805,1,3,27,6.975,0
806,0,3,31,7.775,0
807,0,1,39,0,0
808,0,3,18,7.775,1
809,0,2,39,13,0
810,1,1,33,53.1,1
811,0,3,26,7.8875,0
812,0,3,39,24.15,0
813,0,2,35,10.5,0
814,0,3,6,31.275,1
815,0,3,30.5,8.05,0
816,0,1,,0,0
817,0,3,23,7.925,1
818,0,2,31,37.0042,0
819,0,3,43,6.45,0
820,0,3,10,27.9,0
821,1,1,52,93.5,1
822,1,3,27,8.6625,0
823,0,1,38,0,0
824,1,3,27,12.475,1
825,0,3,2,39.6875,0
826,0,3,,6.95,0
827,0,3,,56.4958,0
828,1,2,1,37.0042,0
829,1,3,,7.75,0
830,1,1,62,80,1
831,1,3,15,14.4542,1
832,1,2,0.83,18.75,0
833,0,3,,7.2292,0
834,0,3,23,7.8542,0
835,0,3,18,8.3,0
836,1,1,39,83.1583,1
837,0,3,21,8.6625,0
838,0,3,,8.05,0
839,1,3,32,56.4958,0
840,1,1,,29.7,0
841,0,3,20,7.925,0
842,0,2,16,10.5,0
843,1,1,30,31,1
844,0,3,34.5,6.4375,0
845,0,3,17,8.6625,0
846,0,3,42,7.55,0
847,0,3,,69.55,0
848,0,3,35,7.8958,0
849,0,2,28,33,0
850,1,1,,89.1042,1
851,0,3,4,31.275,0
852,0,3,74,7.775,0
853,0,3,9,15.2458,1
854,1,1,16,39.4,1
855,0,2,44,26,1
856,1,3,18,9.35,1
857,1,1,45,164.8667,1
858,1,1,51,26.55,0
859,1,3,24,19.2583,1
860,0,3,,7.2292,0
861,0,3,41,14.1083,0
862,0,2,21,11.5,0
863,1,1,48,25.9292,1
864,0,3,,69.55,1
865,0,2,24,13,0
866,1,2,42,13,1
867,1,2,27,13.8583,1
868,0,1,31,50.4958,0
869,0,3,,9.5,0
870,1,3,4,11.1333,0
871,0,3,26,7.8958,0
872,1,1,47,52.5542,1
873,0,1,33,5,0
874,0,3,47,9,0
875,1,2,28,24,1
876,1,3,15,7.225,1
877,0,3,20,9.8458,0
878,0,3,19,7.8958,0
879,0,3,,7.8958,0
880,1,1,56,83.1583,1
881,1,2,25,26,1
882,0,3,33,7.8958,0
883,0,3,22,10.5167,1
884,0,2,28,10.5,0
885,0,3,25,7.05,0
886,0,3,39,29.125,1
887,0,2,27,13,0
888,1,1,19,30,1
889,0,3,,23.45,1
890,1,1,26,30,0
891,0,3,32,7.75,0
